,year_id,seasongame,elo_diff,game_location,opp_id,WL
122631,2014,53,-362.2965999999999,0,23,0
122656,2014,54,-265.0820000000001,0,5,0
122684,2014,55,-47.908300000000054,0,20,1
122718,2014,56,-140.69249999999988,0,29,0
122747,2014,57,-279.84220000000005,1,15,0
122762,2014,58,-218.35969999999998,1,8,0
122787,2014,59,-78.01520000000005,0,1,1
122838,2014,60,-254.9000000000001,1,6,1
122851,2014,61,-39.09619999999995,0,30,0
122876,2014,62,-312.3981000000001,0,11,0
122890,2014,63,-68.22019999999998,1,4,0
122928,2014,64,-317.1205000000002,0,23,1
122989,2014,65,-300.1243999999999,1,23,0
123005,2014,66,-341.1802,1,28,0
123072,2014,67,-348.38239999999996,0,28,0
123101,2014,68,-180.2732000000001,0,25,0
123133,2014,69,32.52389999999991,0,14,1
123167,2014,70,-136.9179999999999,0,3,1
123197,2014,71,103.5161999999998,1,16,0
123208,2014,72,-174.2935,1,17,0
123242,2014,73,-221.40699999999993,0,9,1
123274,2014,74,-218.8909000000001,0,6,0
123295,2014,75,-52.11850000000004,1,1,0
123321,2014,76,-235.2793999999999,0,12,0
123353,2014,77,-340.0392999999999,1,11,0
123366,2014,78,-290.2760999999998,0,5,0
123410,2014,79,-250.4251999999999,0,7,0
123452,2014,80,-260.9306999999999,0,8,0
123476,2014,81,9.418499999999995,1,2,1
123512,2014,82,-374.64549999999986,1,28,1
